entity_id,state,last_changed
sensor.shellypro3em_9454c5b9b340_total_active_power,1273.875,2026-04-28T11:00:00.000Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1279.662,2026-04-28T11:00:05.958Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1276.768,2026-04-28T11:00:19.958Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1269.972,2026-04-28T11:00:33.961Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1267.802,2026-04-28T11:00:47.979Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1280.435,2026-04-28T11:01:01.966Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1289.873,2026-04-28T11:01:15.970Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1276.533,2026-04-28T11:01:29.966Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1248.035,2026-04-28T11:01:43.969Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1266.372,2026-04-28T11:01:57.999Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1258.516,2026-04-28T11:02:11.962Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1250.071,2026-04-28T11:02:25.958Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1257.994,2026-04-28T11:02:39.955Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-375.295,2026-04-28T11:02:53.954Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-631.991,2026-04-28T11:02:54.953Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-500.826,2026-04-28T11:02:55.989Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-345.368,2026-04-28T11:02:56.951Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-185.705,2026-04-28T11:02:57.948Z
sensor.shellypro3em_9454c5b9b340_total_active_power,199.701,2026-04-28T11:02:58.950Z
sensor.shellypro3em_9454c5b9b340_total_active_power,331.304,2026-04-28T11:03:00.240Z
sensor.shellypro3em_9454c5b9b340_total_active_power,311.42,2026-04-28T11:03:03.948Z
sensor.shellypro3em_9454c5b9b340_total_active_power,147.265,2026-04-28T11:03:06.947Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-103.863,2026-04-28T11:03:08.984Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.017,2026-04-28T11:03:10.945Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.284,2026-04-28T11:03:24.941Z
sensor.shellypro3em_9454c5b9b340_total_active_power,21.987,2026-04-28T11:03:28.954Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.019,2026-04-28T11:03:29.942Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.651,2026-04-28T11:03:43.938Z
sensor.shellypro3em_9454c5b9b340_total_active_power,32.737,2026-04-28T11:03:49.943Z
sensor.shellypro3em_9454c5b9b340_total_active_power,22.122,2026-04-28T11:03:50.934Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.348,2026-04-28T11:03:51.936Z
sensor.shellypro3em_9454c5b9b340_total_active_power,22.862,2026-04-28T11:03:52.935Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.778,2026-04-28T11:04:06.980Z
sensor.shellypro3em_9454c5b9b340_total_active_power,4.155,2026-04-28T11:04:09.936Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1.548,2026-04-28T11:04:23.956Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.394,2026-04-28T11:04:29.938Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-7.671,2026-04-28T11:04:32.959Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.2,2026-04-28T11:04:35.939Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-1.75,2026-04-28T11:04:47.945Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.269,2026-04-28T11:04:49.948Z
